trata	profundidad	cargahid
A	10	-406.90
A	20	-345.70	
A	30	-335.50
A	40	-315.10
A	50	-304.90
A	60	-315.10
A	70	-323.26
A	80	-335.50
A	90	-345.70
A	100	-362.02
A	110	-374.26
A	120	-386.50
A	130	-421.18
A	140	-435.46
A	150	-447.70
B	10	-896.50
B	20	-737.38		
B	30	-653.74
B	40	-470.14
B	50	-406.90
B	60	-388.54
B	70	-396.70
B	80	-396.70
B	90	-396.70
B	100	-406.90
B	110	-419.14
B	120	-437.50
B	130	-468.10
B	140	-466.06
B	150	-492.58
C	10	-896.50
C	20	-855.70		
C	30	-818.98
C	40	-788.38
C	50	-678.22
C	60	-590.50
C	70	-545.62
C	80	-515.02
C	90	-498.70
C	100	-496.66
C	110	-517.06
C	120	-555.82
C	130	-619.06
C	140	-623.14
C	150	-623.14		
