supervivencia,antidoto,veneno
0.31,AA,VA
0.45,AA,VA
0.46,AA,VA
0.43,AA,VA
0.36,AA,VB
0.29,AA,VB
0.40,AA,VB
0.23,AA,VB
0.22,AA,VC
0.21,AA,VC
0.18,AA,VC
0.23,AA,VC
0.82,AB,VA 
1.10,AB,VA 
0.88,AB,VA 
0.72,AB,VA 
0.92,AB,VB 
0.61,AB,VB 
0.49,AB,VB 
1.24,AB,VB 
0.30,AB,VC 
0.37,AB,VC 
0.38,AB,VC 
0.29,AB,VC 
0.43,AC,VA 
0.45,AC,VA 
0.63,AC,VA 
0.76,AC,VA 
0.44,AC,VB 
0.35,AC,VB 
0.31,AC,VB 
0.40,AC,VB 
0.23,AC,VC 
0.25,AC,VC 
0.24,AC,VC 
0.22,AC,VC
0.45,AD,VA 
0.71,AD,VA 
0.66,AD,VA 
0.62,AD,VA 
0.56,AD,VB 
1.02,AD,VB 
0.71,AD,VB 
0.38,AD,VB 
0.30,AD,VC 
0.35,AD,VC 
0.31,AD,VC 
0.33,AD,VC 
